iter	Passed	Remaining
0	10	3140
1	18	2817
2	28	2861
3	37	2801
4	47	2816
5	57	2824
6	66	2790
7	77	2823
8	86	2799
9	95	2781
10	105	2767
11	113	2725
12	124	2737
13	132	2709
14	143	2723
15	152	2698
16	162	2698
17	171	2688
18	180	2665
19	190	2668
20	198	2641
21	208	2638
22	217	2614
23	226	2608
24	235	2594
25	244	2580
26	254	2574
27	263	2561
28	274	2560
29	282	2546
30	293	2543
31	302	2533
32	311	2522
33	322	2525
34	331	2507
35	341	2506
36	350	2492
37	360	2482
38	369	2473
39	378	2459
40	388	2452
41	397	2439
42	408	2438
43	418	2437
44	428	2430
45	439	2427
46	448	2416
47	460	2417
48	472	2418
49	481	2405
50	490	2397
51	500	2386
52	509	2375
53	520	2371
54	528	2355
55	538	2346
56	546	2328
57	556	2322
58	565	2310
59	574	2298
60	584	2289
61	593	2279
62	603	2270
63	612	2257
64	621	2248
65	630	2236
66	640	2226
67	649	2217
68	658	2204
69	668	2196
70	677	2184
71	687	2177
72	696	2166
73	705	2155
74	715	2146
75	724	2134
76	734	2126
77	742	2114
78	752	2104
79	761	2093
80	771	2086
81	781	2077
82	791	2068
83	802	2063
84	813	2056
85	823	2049
86	834	2042
87	843	2032
88	854	2025
89	865	2019
90	874	2009
91	884	2000
92	894	1991
93	904	1982
94	915	1975
95	924	1963
96	935	1956
97	945	1948
98	955	1939
99	968	1937
100	978	1928
101	988	1919
102	999	1910
103	1008	1900
104	1018	1890
105	1028	1881
106	1037	1870
107	1047	1862
108	1056	1851
109	1066	1842
110	1076	1832
111	1085	1822
112	1096	1815
113	1106	1805
114	1117	1797
115	1127	1788
116	1137	1779
117	1164	1796
118	1179	1793
119	1192	1789
120	1205	1783
121	1217	1775
122	1228	1768
123	1237	1756
124	1248	1747
125	1257	1737
126	1267	1726
127	1278	1717
128	1287	1706
129	1297	1696
130	1306	1684
131	1315	1674
132	1325	1664
133	1334	1652
134	1344	1643
135	1352	1631
136	1364	1622
137	1373	1612
138	1382	1601
139	1392	1591
140	1401	1580
141	1411	1571
142	1420	1559
143	1429	1548
144	1438	1537
145	1447	1526
146	1457	1516
147	1466	1505
148	1476	1496
149	1485	1485
150	1495	1475
151	1505	1465
152	1514	1455
153	1524	1445
154	1533	1434
155	1543	1424
156	1552	1414
157	1561	1403
158	1571	1393
159	1580	1382
160	1590	1373
161	1598	1362
162	1609	1352
163	1618	1341
164	1627	1331
165	1635	1320
166	1644	1310
167	1654	1300
168	1664	1290
169	1674	1280
170	1684	1270
171	1694	1261
172	1704	1251
173	1713	1240
174	1723	1231
175	1732	1220
176	1742	1211
177	1751	1200
178	1760	1190
179	1770	1180
180	1779	1169
181	1789	1160
182	1798	1149
183	1808	1140
184	1818	1130
185	1829	1121
186	1839	1111
187	1848	1101
188	1857	1091
189	1866	1080
190	1875	1070
191	1885	1060
192	1893	1049
193	1903	1040
194	1912	1029
195	1922	1020
196	1931	1009
197	1940	999
198	1950	989
199	1959	979
200	1969	970
201	1978	959
202	1987	949
203	1996	939
204	2005	929
205	2015	919
206	2023	909
207	2033	899
208	2042	889
209	2052	879
210	2060	869
211	2070	859
212	2078	848
213	2088	839
214	2097	829
215	2106	819
216	2116	809
217	2125	799
218	2136	790
219	2147	780
220	2156	770
221	2167	761
222	2176	751
223	2187	742
224	2198	732
225	2208	723
226	2218	713
227	2227	703
228	2237	693
229	2247	684
230	2257	674
231	2267	664
232	2276	654
233	2298	648
234	2306	637
235	2315	628
236	2324	617
237	2334	608
238	2342	597
239	2351	587
240	2361	578
241	2369	567
242	2379	558
243	2387	547
244	2397	538
245	2404	527
246	2414	518
247	2423	508
248	2432	498
249	2440	488
250	2450	478
251	2460	468
252	2468	458
253	2478	448
254	2486	438
255	2496	429
256	2505	419
257	2515	409
258	2524	399
259	2533	389
260	2543	380
261	2552	370
262	2563	360
263	2571	350
264	2581	341
265	2591	331
266	2601	321
267	2611	311
268	2620	301
269	2630	292
270	2640	282
271	2651	272
272	2660	263
273	2669	253
274	2678	243
275	2686	233
276	2697	223
277	2706	214
278	2715	204
279	2725	194
280	2733	184
281	2744	175
282	2752	165
283	2763	155
284	2771	145
285	2781	136
286	2790	126
287	2798	116
288	2808	106
289	2816	97
290	2826	87
291	2834	77
292	2843	67
293	2852	58
294	2861	48
295	2870	38
296	2880	29
297	2890	19
298	2899	9
299	2909	0
